job_id,job_title,company_name,company_location,employee_residence,industry,experience_level,employment_type,company_size,remote_ratio,remote_status,salary_usd,salary_currency,salary_local,salary_category,required_skills,education_required,years_experience,posting_date,posting_year,posting_month,application_deadline,job_description_length,benefits_score
AI00015,Ai Research Scientist,Advanced Robotics,Sweden,Sweden,Technology,Senior,Full-time,Medium (50-249 employees),100,Fully Remote,150122,USD,Not Provided,High,"Pytorch, Python, Data Visualization, Gcp",Associate,6,2024-10-02,2024,10,2024-11-26,1466,9.8
AI00016,Ai Product Manager,Datavision Ltd,United Kingdom,Israel,Consulting,Entry-level,Part-time,Large (250+ employees),0,On-site,78846,GBP,Not Provided,Mid,"Linux, Statistics, Deep Learning",PhD,0,2024-09-28,2024,9,2024-10-26,2059,9.6
AI00017,Principal Data Scientist,Predictive Systems,India,India,Real Estate,Entry-level,Full-time,Large (250+ employees),100,Fully Remote,59823,USD,Not Provided,Mid,"Tableau, Nlp, Spark",Bachelor,1,2025-02-06,2025,2,2025-03-26,1200,5.8
AI00018,Machine Learning Engineer,Ai Innovations,France,France,Real Estate,Executive,Contract,Large (250+ employees),100,Fully Remote,181139,EUR,Not Provided,High,"Mlops, Pytorch, Azure",Associate,15,2024-04-24,2024,4,2024-06-03,2142,8.7
AI00019,Data Engineer,Algorithmic Solutions,Singapore,Singapore,Finance,Senior,Contract,Medium (50-249 employees),0,On-site,155300,USD,Not Provided,High,"Git, Hadoop, R, Python, Spark",Associate,9,2024-04-30,2024,4,2024-05-29,589,8.6
AI00020,Research Scientist,Ai Innovations,Netherlands,Germany,Transportation,Mid-level,Part-time,Large (250+ employees),100,Fully Remote,93851,EUR,Not Provided,Mid,"Java, Scala, Nlp, Docker, Computer Vision",PhD,4,2024-05-01,2024,5,2024-07-02,1809,6.7
AI00021,Data Engineer,Ai Innovations,Norway,France,Telecommunications,Mid-level,Full-time,Medium (50-249 employees),0,On-site,134197,USD,Not Provided,High,"Deep Learning, Aws, Azure",Bachelor,3,2024-06-21,2024,6,2024-08-28,969,9.6
AI00022,Autonomous Systems Engineer,Cognitive Computing,United States,United States,Automotive,Mid-level,Part-time,Medium (50-249 employees),0,On-site,102550,USD,Not Provided,High,"Tableau, Spark, Nlp, Tensorflow, Pytorch",Bachelor,2,2024-04-23,2024,4,2024-06-23,625,10.0
AI00023,Ml Ops Engineer,Quantum Computing Inc,Germany,Germany,Automotive,Senior,Contract,Small (<50 employees),0,On-site,99382,EUR,Not Provided,Mid,"Hadoop, Git, Tableau",PhD,7,2025-03-13,2025,3,2025-05-11,1629,6.9
AI00024,Ai Product Manager,Cloud Ai Solutions,Austria,Ireland,Telecommunications,Mid-level,Full-time,Medium (50-249 employees),100,Fully Remote,52167,USD,Not Provided,Mid,"Git, Hadoop, Docker",Master,4,2024-06-07,2024,6,2024-06-24,2298,9.3
AI00025,Ml Ops Engineer,Ai Innovations,China,China,Healthcare,Mid-level,Full-time,Small (<50 employees),0,On-site,53923,USD,Not Provided,Mid,"Aws, Azure, Git, Sql, Computer Vision",Bachelor,2,2024-10-27,2024,10,2024-11-18,1006,7.4
AI00026,Robotics Engineer,Datavision Ltd,Israel,Israel,Government,Senior,Part-time,Large (250+ employees),100,Fully Remote,109779,USD,Not Provided,High,"Linux, Git, Tableau, Kubernetes, Data Visualization",PhD,6,2024-08-01,2024,8,2024-10-02,1146,8.8
AI00027,Ml Ops Engineer,Techcorp Inc,Australia,India,Media,Mid-level,Contract,Small (<50 employees),50,Hybrid,80979,USD,Not Provided,Mid,"Hadoop, Linux, Git, Scala",Master,2,2024-11-18,2024,11,2025-01-18,2109,7.7
AI00028,Data Analyst,Predictive Systems,Austria,Singapore,Government,Mid-level,Part-time,Medium (50-249 employees),0,On-site,52997,USD,Not Provided,Mid,"Mathematics, Kubernetes, Tensorflow, Tableau, Pytorch",PhD,2,2025-01-10,2025,1,2025-02-20,2101,8.6
AI00029,Head Of Ai,Cognitive Computing,Ireland,Ireland,Healthcare,Entry-level,Contract,Medium (50-249 employees),50,Hybrid,42819,USD,Not Provided,Low,"Python, Scala, Nlp, Mathematics, Git",PhD,0,2024-10-08,2024,10,2024-11-20,2187,8.6
AI00030,Ml Ops Engineer,Future Systems,Israel,Israel,Retail,Mid-level,Contract,Large (250+ employees),100,Fully Remote,82083,USD,Not Provided,Mid,"Azure, Python, Computer Vision, Kubernetes, Tensorflow",Master,2,2024-01-18,2024,1,2024-02-25,1212,6.3
AI00031,Head Of Ai,Advanced Robotics,Netherlands,Netherlands,Retail,Entry-level,Full-time,Medium (50-249 employees),100,Fully Remote,67488,EUR,Not Provided,Mid,"Deep Learning, Gcp, Aws, Linux, Tableau",Master,1,2024-05-16,2024,5,2024-07-26,887,6.0
AI00032,Research Scientist,Cloud Ai Solutions,Denmark,Denmark,Real Estate,Entry-level,Full-time,Medium (50-249 employees),0,On-site,68624,USD,Not Provided,Mid,"Azure, Python, Spark",Master,1,2024-01-31,2024,1,2024-03-08,1910,9.2
AI00033,Robotics Engineer,Cognitive Computing,Switzerland,Switzerland,Real Estate,Senior,Full-time,Small (<50 employees),50,Hybrid,146852,USD,Not Provided,High,"Nlp, Scala, Python",PhD,7,2024-08-28,2024,8,2024-09-20,684,5.3
AI00034,Ml Ops Engineer,Predictive Systems,Finland,Finland,Education,Executive,Freelance,Medium (50-249 employees),0,On-site,178183,USD,Not Provided,High,"Tableau, Azure, Gcp, Linux, Python",Associate,16,2024-03-01,2024,3,2024-03-19,1850,5.7
AI00035,Deep Learning Engineer,Smart Analytics,Sweden,Singapore,Consulting,Senior,Freelance,Large (250+ employees),0,On-site,150864,USD,Not Provided,High,"R, Gcp, Mlops, Linux",PhD,8,2024-10-26,2024,10,2024-12-25,1504,7.9
AI00036,Head Of Ai,Autonomous Tech,Finland,Netherlands,Finance,Executive,Contract,Large (250+ employees),0,On-site,126942,USD,Not Provided,High,"Git, Hadoop, Data Visualization",Associate,10,2024-01-31,2024,1,2024-02-26,1261,9.9
AI00037,Ai Architect,Techcorp Inc,Japan,Japan,Telecommunications,Mid-level,Part-time,Medium (50-249 employees),100,Fully Remote,53752,USD,Not Provided,Mid,"Data Visualization, Tableau, Aws, Mathematics, Python",Associate,2,2024-10-17,2024,10,2024-11-12,998,6.1
AI00038,Robotics Engineer,Autonomous Tech,Israel,Israel,Government,Executive,Contract,Small (<50 employees),0,On-site,111381,USD,Not Provided,High,"Linux, Pytorch, Sql, Statistics",Master,18,2024-01-14,2024,1,2024-03-12,1030,8.1
AI00039,Ai Specialist,Future Systems,China,China,Healthcare,Entry-level,Part-time,Medium (50-249 employees),50,Hybrid,41430,USD,Not Provided,Low,"Tableau, Docker, Gcp",Bachelor,1,2024-06-15,2024,6,2024-07-29,2323,8.0
AI00040,Data Engineer,Deeptech Ventures,Netherlands,Netherlands,Government,Executive,Freelance,Large (250+ employees),100,Fully Remote,166080,EUR,Not Provided,High,"Computer Vision, Azure, Tableau",Associate,15,2024-03-01,2024,3,2024-05-01,831,5.1
AI00041,Data Scientist,Datavision Ltd,United States,China,Telecommunications,Mid-level,Full-time,Medium (50-249 employees),0,On-site,96956,USD,Not Provided,Mid,"Data Visualization, Azure, Spark, Mlops",Bachelor,2,2024-02-24,2024,2,2024-03-09,761,5.3
AI00042,Ai Architect,Datavision Ltd,United States,United States,Finance,Senior,Freelance,Large (250+ employees),50,Hybrid,196954,USD,Not Provided,High,"Java, Mathematics, Sql",Bachelor,8,2025-03-17,2025,3,2025-04-16,2290,7.5
AI00043,Ai Specialist,Quantum Computing Inc,Finland,Finland,Telecommunications,Entry-level,Part-time,Large (250+ employees),100,Fully Remote,56745,USD,Not Provided,Mid,"Spark, Mathematics, Gcp",Associate,1,2025-02-01,2025,2,2025-04-11,502,5.5
AI00044,Machine Learning Researcher,Ai Innovations,Singapore,Singapore,Retail,Senior,Full-time,Medium (50-249 employees),50,Hybrid,113455,USD,Not Provided,High,"Hadoop, Docker, Python, Azure",Associate,8,2024-04-24,2024,4,2024-06-12,1281,8.0
AI00045,Ml Ops Engineer,Future Systems,Netherlands,Netherlands,Media,Senior,Part-time,Medium (50-249 employees),50,Hybrid,158808,EUR,Not Provided,High,"Docker, R, Linux",Bachelor,5,2025-03-03,2025,3,2025-05-03,1926,7.4
AI00046,Ai Research Scientist,Deeptech Ventures,United States,Singapore,Media,Senior,Contract,Medium (50-249 employees),50,Hybrid,174663,USD,Not Provided,High,"Data Visualization, Statistics, R",Associate,7,2024-01-10,2024,1,2024-03-22,1151,5.4
AI00047,Ai Research Scientist,Quantum Computing Inc,India,India,Manufacturing,Entry-level,Contract,Small (<50 employees),50,Hybrid,46753,USD,Not Provided,Low,"Scala, Java, Tableau",PhD,1,2024-11-16,2024,11,2024-12-18,2012,9.7
AI00048,Ai Software Engineer,Techcorp Inc,China,China,Energy,Mid-level,Freelance,Large (250+ employees),0,On-site,69020,USD,Not Provided,Mid,"Java, Azure, Gcp",Bachelor,4,2024-09-05,2024,9,2024-10-25,1584,8.8
AI00049,Ai Specialist,Cognitive Computing,Switzerland,Switzerland,Manufacturing,Executive,Part-time,Small (<50 employees),0,On-site,288815,USD,Not Provided,High,"Deep Learning, Git, Data Visualization, Linux, Java",Bachelor,12,2024-08-08,2024,8,2024-09-23,1930,7.2
AI00050,Ai Consultant,Autonomous Tech,Austria,Finland,Media,Executive,Freelance,Medium (50-249 employees),50,Hybrid,124871,USD,Not Provided,High,"Hadoop, Aws, Linux, Docker, Statistics",PhD,19,2025-03-10,2025,3,2025-05-17,1556,8.0
AI00051,Ai Architect,Techcorp Inc,Germany,Germany,Government,Mid-level,Full-time,Small (<50 employees),0,On-site,70391,EUR,Not Provided,Mid,"Deep Learning, Sql, Mathematics",PhD,4,2024-08-16,2024,8,2024-10-19,1974,9.2
AI00052,Research Scientist,Autonomous Tech,India,India,Technology,Executive,Full-time,Medium (50-249 employees),100,Fully Remote,115376,USD,Not Provided,High,"Linux, R, Azure, Mathematics, Git",Master,17,2024-03-12,2024,3,2024-04-14,2028,5.5
AI00053,Research Scientist,Cognitive Computing,United States,United States,Gaming,Mid-level,Part-time,Small (<50 employees),100,Fully Remote,106579,USD,Not Provided,High,"Docker, Tableau, Mathematics",Associate,3,2024-02-24,2024,2,2024-05-02,2028,5.4
AI00054,Data Scientist,Datavision Ltd,Norway,Norway,Consulting,Senior,Part-time,Small (<50 employees),100,Fully Remote,135230,USD,Not Provided,High,"R, Pytorch, Kubernetes, Computer Vision",PhD,8,2024-07-07,2024,7,2024-09-09,1219,7.5
AI00055,Research Scientist,Quantum Computing Inc,Israel,Israel,Media,Mid-level,Part-time,Small (<50 employees),50,Hybrid,67607,USD,Not Provided,Mid,"Python, Tableau, Tensorflow, Aws",Master,4,2024-08-05,2024,8,2024-08-26,1714,8.6
AI00056,Ai Architect,Autonomous Tech,Canada,Canada,Real Estate,Mid-level,Part-time,Large (250+ employees),0,On-site,88470,USD,Not Provided,Mid,"Azure, Kubernetes, Tensorflow, Statistics, Spark",Associate,3,2024-07-29,2024,7,2024-09-27,1528,9.1
AI00057,Autonomous Systems Engineer,Autonomous Tech,India,India,Automotive,Mid-level,Freelance,Large (250+ employees),100,Fully Remote,79863,USD,Not Provided,Mid,"Python, Docker, Gcp, Scala",Associate,4,2024-09-28,2024,9,2024-10-26,1325,5.6
AI00058,Machine Learning Engineer,Advanced Robotics,Israel,Israel,Finance,Entry-level,Part-time,Large (250+ employees),100,Fully Remote,60299,USD,Not Provided,Mid,"Git, Linux, Python, Tensorflow, Mathematics",PhD,0,2025-03-22,2025,3,2025-05-01,1872,6.6
AI00059,Machine Learning Engineer,Ai Innovations,Germany,Germany,Transportation,Mid-level,Full-time,Medium (50-249 employees),0,On-site,85645,EUR,Not Provided,Mid,"Pytorch, Computer Vision, R",Associate,4,2024-02-09,2024,2,2024-03-06,793,7.9
AI00060,Ai Software Engineer,Techcorp Inc,United Kingdom,France,Media,Senior,Freelance,Small (<50 employees),0,On-site,110222,GBP,Not Provided,High,"R, Spark, Aws",Associate,8,2024-03-20,2024,3,2024-05-05,1945,9.0
AI00061,Data Scientist,Predictive Systems,China,China,Finance,Entry-level,Full-time,Medium (50-249 employees),0,On-site,49365,USD,Not Provided,Low,"Tableau, Nlp, Azure, Statistics, Pytorch",Associate,1,2024-06-22,2024,6,2024-08-14,1907,10.0
AI00062,Data Scientist,Neural Networks Co,Norway,Norway,Finance,Senior,Part-time,Small (<50 employees),50,Hybrid,162296,USD,Not Provided,High,"Tensorflow, Azure, Computer Vision, Data Visualization",Bachelor,6,2024-06-05,2024,6,2024-07-01,1714,6.2
AI00063,Ai Consultant,Smart Analytics,Switzerland,Switzerland,Education,Mid-level,Part-time,Medium (50-249 employees),0,On-site,102382,USD,Not Provided,High,"Tensorflow, Scala, Docker, Statistics",PhD,3,2024-03-23,2024,3,2024-06-03,2199,5.8
AI00064,Ai Software Engineer,Cloud Ai Solutions,Australia,Canada,Technology,Mid-level,Part-time,Medium (50-249 employees),50,Hybrid,99972,USD,Not Provided,Mid,"Java, R, Deep Learning, Nlp, Azure",PhD,4,2024-02-20,2024,2,2024-03-15,799,6.5
AI00065,Data Engineer,Machine Intelligence Group,South Korea,South Korea,Manufacturing,Entry-level,Contract,Large (250+ employees),0,On-site,64129,USD,Not Provided,Mid,"Java, Git, Deep Learning",Bachelor,0,2024-12-15,2024,12,2025-02-11,909,7.1
AI00066,Ai Specialist,Machine Intelligence Group,Ireland,Ireland,Education,Senior,Full-time,Small (<50 employees),100,Fully Remote,87938,USD,Not Provided,Mid,"Mathematics, Spark, Python, Aws",PhD,8,2024-12-15,2024,12,2025-02-12,508,8.1
AI00067,Autonomous Systems Engineer,Advanced Robotics,Israel,Israel,Retail,Mid-level,Freelance,Large (250+ employees),0,On-site,71405,USD,Not Provided,Mid,"Sql, Java, Mlops, Linux, Pytorch",Associate,4,2024-09-01,2024,9,2024-10-29,1153,9.5
AI00068,Machine Learning Engineer,Digital Transformation Llc,Denmark,Canada,Finance,Executive,Part-time,Medium (50-249 employees),0,On-site,316182,USD,Not Provided,High,"Python, Scala, Statistics, Git",Associate,12,2025-02-09,2025,2,2025-02-23,2452,7.0
AI00069,Machine Learning Researcher,Quantum Computing Inc,Germany,Germany,Gaming,Entry-level,Part-time,Medium (50-249 employees),100,Fully Remote,72459,EUR,Not Provided,Mid,"Hadoop, Python, Kubernetes, Azure",Bachelor,0,2024-08-30,2024,8,2024-09-15,583,9.6
AI00070,Principal Data Scientist,Cognitive Computing,France,France,Technology,Mid-level,Full-time,Large (250+ employees),100,Fully Remote,78338,EUR,Not Provided,Mid,"Mlops, Kubernetes, Git, Python",Associate,3,2024-10-31,2024,10,2024-12-15,548,8.7
AI00071,Nlp Engineer,Neural Networks Co,Israel,Singapore,Healthcare,Mid-level,Freelance,Medium (50-249 employees),100,Fully Remote,51907,USD,Not Provided,Mid,"Aws, Kubernetes, Azure",Bachelor,4,2024-02-14,2024,2,2024-04-02,912,8.2
AI00072,Autonomous Systems Engineer,Algorithmic Solutions,France,France,Real Estate,Senior,Freelance,Small (<50 employees),100,Fully Remote,122831,EUR,Not Provided,High,"Pytorch, Kubernetes, Git, Sql",Master,7,2024-05-31,2024,5,2024-06-19,761,8.4
AI00073,Machine Learning Researcher,Cognitive Computing,Norway,Norway,Real Estate,Mid-level,Freelance,Small (<50 employees),50,Hybrid,124820,USD,Not Provided,High,"Nlp, Azure, Statistics, Spark, Mathematics",Associate,3,2024-08-02,2024,8,2024-10-01,2077,9.9
AI00074,Autonomous Systems Engineer,Machine Intelligence Group,United Kingdom,United Kingdom,Retail,Senior,Part-time,Small (<50 employees),50,Hybrid,134200,GBP,Not Provided,High,"Linux, R, Tableau",PhD,9,2024-11-29,2024,11,2025-01-09,2396,7.8
AI00075,Data Engineer,Digital Transformation Llc,Sweden,Finland,Consulting,Entry-level,Part-time,Small (<50 employees),100,Fully Remote,51920,USD,Not Provided,Mid,"Scala, R, Tableau, Data Visualization",PhD,0,2025-04-08,2025,4,2025-05-13,1778,7.9
AI00076,Data Engineer,Deeptech Ventures,Singapore,Singapore,Energy,Entry-level,Freelance,Medium (50-249 employees),100,Fully Remote,56427,USD,Not Provided,Mid,"Mathematics, Kubernetes, Spark",Master,0,2024-11-16,2024,11,2025-01-25,1366,5.2
AI00077,Ai Product Manager,Quantum Computing Inc,Canada,Canada,Energy,Executive,Full-time,Small (<50 employees),100,Fully Remote,213783,USD,Not Provided,High,"Kubernetes, Spark, Statistics, Scala",Bachelor,16,2024-09-19,2024,9,2024-10-06,2383,9.2
AI00078,Ml Ops Engineer,Datavision Ltd,Israel,Israel,Finance,Mid-level,Freelance,Medium (50-249 employees),50,Hybrid,59728,USD,Not Provided,Mid,"Mlops, Sql, Statistics",Associate,2,2024-06-10,2024,6,2024-08-13,1350,7.5
AI00079,Computer Vision Engineer,Autonomous Tech,India,India,Technology,Senior,Contract,Large (250+ employees),0,On-site,119432,USD,Not Provided,High,"Scala, Mlops, Nlp",PhD,6,2024-04-20,2024,4,2024-06-08,1008,6.3
AI00080,Ai Research Scientist,Techcorp Inc,United States,United States,Consulting,Executive,Contract,Medium (50-249 employees),0,On-site,284486,USD,Not Provided,High,"Pytorch, Linux, Sql",Master,12,2025-02-13,2025,2,2025-03-10,2231,7.0
AI00081,Data Analyst,Neural Networks Co,France,France,Manufacturing,Executive,Contract,Large (250+ employees),50,Hybrid,157597,EUR,Not Provided,High,"Git, Kubernetes, Tensorflow, R, Java",Bachelor,17,2024-08-31,2024,8,2024-09-15,639,8.4
AI00082,Ml Ops Engineer,Techcorp Inc,Australia,Australia,Gaming,Executive,Contract,Large (250+ employees),100,Fully Remote,196942,USD,Not Provided,High,"R, Tableau, Sql, Mlops, Docker",Master,19,2024-04-01,2024,4,2024-04-16,826,7.5
AI00083,Machine Learning Researcher,Cognitive Computing,Canada,Canada,Energy,Executive,Contract,Medium (50-249 employees),0,On-site,207548,USD,Not Provided,High,"Nlp, Azure, Spark, Data Visualization",PhD,10,2024-02-05,2024,2,2024-03-11,2292,6.7
AI00084,Nlp Engineer,Techcorp Inc,Sweden,Sweden,Automotive,Mid-level,Freelance,Small (<50 employees),50,Hybrid,68838,USD,Not Provided,Mid,"Java, Sql, Spark, Tableau, Azure",PhD,3,2024-06-20,2024,6,2024-08-12,804,7.4
AI00085,Ml Ops Engineer,Techcorp Inc,Finland,Finland,Telecommunications,Executive,Freelance,Large (250+ employees),100,Fully Remote,125666,USD,Not Provided,High,"Docker, Python, Git, Kubernetes, Java",PhD,13,2024-06-19,2024,6,2024-08-22,757,8.4
AI00086,Nlp Engineer,Machine Intelligence Group,Denmark,Denmark,Finance,Entry-level,Full-time,Medium (50-249 employees),50,Hybrid,73174,USD,Not Provided,Mid,"Git, Mlops, Hadoop, Python, Spark",Associate,0,2024-07-14,2024,7,2024-09-08,678,6.4
AI00087,Autonomous Systems Engineer,Future Systems,Israel,India,Manufacturing,Entry-level,Contract,Small (<50 employees),50,Hybrid,33314,USD,Not Provided,Low,"Sql, Kubernetes, Docker",Bachelor,0,2025-04-16,2025,4,2025-06-15,1207,8.3
AI00088,Ai Specialist,Smart Analytics,United States,United States,Transportation,Entry-level,Full-time,Small (<50 employees),100,Fully Remote,69914,USD,Not Provided,Mid,"R, Nlp, Sql, Gcp",Associate,0,2025-02-15,2025,2,2025-04-15,1517,7.0
AI00089,Principal Data Scientist,Ai Innovations,France,France,Automotive,Executive,Freelance,Medium (50-249 employees),50,Hybrid,152118,EUR,Not Provided,High,"Spark, Sql, Python, Mathematics, Linux",Master,11,2024-05-20,2024,5,2024-07-14,1294,6.9
AI00090,Ai Software Engineer,Digital Transformation Llc,France,France,Real Estate,Entry-level,Contract,Large (250+ employees),50,Hybrid,78014,EUR,Not Provided,Mid,"Pytorch, Hadoop, Scala, Computer Vision",PhD,0,2024-11-19,2024,11,2024-12-07,841,6.8
AI00091,Research Scientist,Predictive Systems,Canada,Canada,Automotive,Entry-level,Part-time,Small (<50 employees),100,Fully Remote,48466,USD,Not Provided,Low,"Hadoop, Spark, Kubernetes, Python",Bachelor,0,2025-03-10,2025,3,2025-05-14,1146,5.7
AI00092,Data Analyst,Algorithmic Solutions,France,France,Technology,Senior,Contract,Small (<50 employees),50,Hybrid,97997,EUR,Not Provided,Mid,"Hadoop, Python, Tensorflow, R, Statistics",PhD,8,2024-06-19,2024,6,2024-07-16,2419,6.0
AI00093,Principal Data Scientist,Neural Networks Co,Singapore,Singapore,Finance,Senior,Freelance,Small (<50 employees),0,On-site,128341,USD,Not Provided,High,"Computer Vision, Pytorch, Gcp, Linux",Bachelor,9,2025-04-26,2025,4,2025-06-15,2457,6.9
AI00094,Ai Research Scientist,Predictive Systems,United States,United States,Real Estate,Mid-level,Freelance,Large (250+ employees),0,On-site,111528,USD,Not Provided,High,"Java, Hadoop, Mathematics",PhD,3,2024-03-01,2024,3,2024-05-08,1299,9.5
AI00095,Machine Learning Researcher,Deeptech Ventures,Canada,Canada,Education,Executive,Part-time,Small (<50 employees),50,Hybrid,138945,USD,Not Provided,High,"Linux, R, Nlp, Pytorch, Git",Master,19,2024-07-10,2024,7,2024-09-15,1559,8.9
AI00096,Nlp Engineer,Cognitive Computing,Israel,Israel,Manufacturing,Senior,Full-time,Medium (50-249 employees),50,Hybrid,98688,USD,Not Provided,Mid,"Statistics, Python, Tensorflow, Pytorch, Git",Bachelor,8,2024-04-10,2024,4,2024-05-03,598,8.6
AI00097,Data Analyst,Predictive Systems,France,France,Technology,Senior,Full-time,Small (<50 employees),0,On-site,109029,EUR,Not Provided,High,"Kubernetes, Scala, Java",Bachelor,6,2025-04-05,2025,4,2025-06-13,2049,6.1
AI00098,Nlp Engineer,Machine Intelligence Group,Canada,Canada,Real Estate,Mid-level,Full-time,Medium (50-249 employees),0,On-site,84797,USD,Not Provided,Mid,"Deep Learning, Statistics, Computer Vision, Tensorflow, Mathematics",Master,4,2024-12-04,2024,12,2025-01-03,1909,6.2
AI00099,Machine Learning Researcher,Smart Analytics,Switzerland,Denmark,Retail,Executive,Contract,Large (250+ employees),50,Hybrid,290199,USD,Not Provided,High,"Python, Aws, Kubernetes, Deep Learning",Master,12,2025-01-12,2025,1,2025-03-07,1137,5.6
AI00100,Ai Research Scientist,Advanced Robotics,United States,United States,Transportation,Senior,Contract,Large (250+ employees),0,On-site,195691,USD,Not Provided,High,"Aws, Kubernetes, Docker, Mathematics, Mlops",PhD,8,2024-04-20,2024,4,2024-06-22,916,8.7
AI00101,Ai Product Manager,Cognitive Computing,Norway,Norway,Consulting,Senior,Full-time,Large (250+ employees),100,Fully Remote,193448,USD,Not Provided,High,"Scala, Git, Java",Associate,9,2025-01-02,2025,1,2025-03-11,579,6.6
AI00102,Ai Product Manager,Smart Analytics,Israel,Israel,Government,Executive,Part-time,Large (250+ employees),100,Fully Remote,138466,USD,Not Provided,High,"Azure, Aws, Pytorch, Gcp, Hadoop",Associate,16,2024-01-25,2024,1,2024-04-04,1690,9.5
AI00103,Data Analyst,Algorithmic Solutions,Netherlands,Netherlands,Transportation,Mid-level,Contract,Medium (50-249 employees),100,Fully Remote,91577,EUR,Not Provided,Mid,"Spark, Mathematics, Pytorch, Sql, Tensorflow",Bachelor,3,2024-01-27,2024,1,2024-02-28,859,6.5
AI00104,Computer Vision Engineer,Digital Transformation Llc,Sweden,Sweden,Real Estate,Mid-level,Full-time,Small (<50 employees),0,On-site,92875,USD,Not Provided,Mid,"Sql, Python, Deep Learning",PhD,3,2024-07-21,2024,7,2024-09-27,701,5.3
AI00105,Data Engineer,Cloud Ai Solutions,United Kingdom,United Kingdom,Healthcare,Executive,Full-time,Small (<50 employees),100,Fully Remote,213287,GBP,Not Provided,High,"Tensorflow, Gcp, Pytorch, Spark",Master,13,2025-03-03,2025,3,2025-04-03,1102,6.3
