job_id,job_title,salary_usd,salary_category,remote_status,experience_level,employment_type,company_location,employee_residence,company_name,company_size,remote_ratio,salary_currency,salary_local,required_skills,education_required,years_experience,industry,posting_date,posting_year,posting_month,application_deadline,job_description_length,benefits_score
AI00031,Head Of Ai,67488,Mid,Fully Remote,En,Ft,Netherlands,Netherlands,Advanced Robotics,M,100,Eur,Not Provided,"Deep Learning, GCP, AWS, Linux, Tableau",Master,1,Retail,2024-05-16,2024,5,2024-07-26,887,6.0
AI00032,Research Scientist,68624,Mid,On-site,En,Ft,Denmark,Denmark,Cloud Ai Solutions,M,0,Usd,Not Provided,"Azure, Python, Spark",Master,1,Real Estate,2024-01-31,2024,1,2024-03-08,1910,9.2
AI00033,Robotics Engineer,146852,High,Hybrid,Se,Ft,Switzerland,Switzerland,Cognitive Computing,S,50,Usd,Not Provided,"NLP, Scala, Python",PhD,7,Real Estate,2024-08-28,2024,8,2024-09-20,684,5.3
AI00034,Ml Ops Engineer,178183,High,On-site,Ex,Fl,Finland,Finland,Predictive Systems,M,0,Usd,Not Provided,"Tableau, Azure, GCP, Linux, Python",Associate,16,Education,2024-03-01,2024,3,2024-03-19,1850,5.7
AI00035,Deep Learning Engineer,150864,High,On-site,Se,Fl,Sweden,Singapore,Smart Analytics,L,0,Usd,Not Provided,"R, GCP, MLOps, Linux",PhD,8,Consulting,2024-10-26,2024,10,2024-12-25,1504,7.9
AI00036,Head Of Ai,126942,High,On-site,Ex,Ct,Finland,Netherlands,Autonomous Tech,L,0,Usd,Not Provided,"Git, Hadoop, Data Visualization",Associate,10,Finance,2024-01-31,2024,1,2024-02-26,1261,9.9
AI00037,Ai Architect,53752,Mid,Fully Remote,Mi,Pt,Japan,Japan,Techcorp Inc,M,100,Usd,Not Provided,"Data Visualization, Tableau, AWS, Mathematics, Python",Associate,2,Telecommunications,2024-10-17,2024,10,2024-11-12,998,6.1
AI00038,Robotics Engineer,111381,High,On-site,Ex,Ct,Israel,Israel,Autonomous Tech,S,0,Usd,Not Provided,"Linux, PyTorch, SQL, Statistics",Master,18,Government,2024-01-14,2024,1,2024-03-12,1030,8.1
AI00039,Ai Specialist,41430,Low,Hybrid,En,Pt,China,China,Future Systems,M,50,Usd,Not Provided,"Tableau, Docker, GCP",Bachelor,1,Healthcare,2024-06-15,2024,6,2024-07-29,2323,8.0
AI00040,Data Engineer,166080,High,Fully Remote,Ex,Fl,Netherlands,Netherlands,Deeptech Ventures,L,100,Eur,Not Provided,"Computer Vision, Azure, Tableau",Associate,15,Government,2024-03-01,2024,3,2024-05-01,831,5.1
AI00041,Data Scientist,96956,Mid,On-site,Mi,Ft,United States,China,Datavision Ltd,M,0,Usd,Not Provided,"Data Visualization, Azure, Spark, MLOps",Bachelor,2,Telecommunications,2024-02-24,2024,2,2024-03-09,761,5.3
AI00042,Ai Architect,196954,High,Hybrid,Se,Fl,United States,United States,Datavision Ltd,L,50,Usd,Not Provided,"Java, Mathematics, SQL",Bachelor,8,Finance,2025-03-17,2025,3,2025-04-16,2290,7.5
AI00043,Ai Specialist,56745,Mid,Fully Remote,En,Pt,Finland,Finland,Quantum Computing Inc,L,100,Usd,Not Provided,"Spark, Mathematics, GCP",Associate,1,Telecommunications,2025-02-01,2025,2,2025-04-11,502,5.5
AI00044,Machine Learning Researcher,113455,High,Hybrid,Se,Ft,Singapore,Singapore,Ai Innovations,M,50,Usd,Not Provided,"Hadoop, Docker, Python, Azure",Associate,8,Retail,2024-04-24,2024,4,2024-06-12,1281,8.0
AI00045,Ml Ops Engineer,158808,High,Hybrid,Se,Pt,Netherlands,Netherlands,Future Systems,M,50,Eur,Not Provided,"Docker, R, Linux",Bachelor,5,Media,2025-03-03,2025,3,2025-05-03,1926,7.4
AI00046,Ai Research Scientist,174663,High,Hybrid,Se,Ct,United States,Singapore,Deeptech Ventures,M,50,Usd,Not Provided,"Data Visualization, Statistics, R",Associate,7,Media,2024-01-10,2024,1,2024-03-22,1151,5.4
AI00047,Ai Research Scientist,46753,Low,Hybrid,En,Ct,India,India,Quantum Computing Inc,S,50,Usd,Not Provided,"Scala, Java, Tableau",PhD,1,Manufacturing,2024-11-16,2024,11,2024-12-18,2012,9.7
AI00048,Ai Software Engineer,69020,Mid,On-site,Mi,Fl,China,China,Techcorp Inc,L,0,Usd,Not Provided,"Java, Azure, GCP",Bachelor,4,Energy,2024-09-05,2024,9,2024-10-25,1584,8.8
AI00049,Ai Specialist,288815,High,On-site,Ex,Pt,Switzerland,Switzerland,Cognitive Computing,S,0,Usd,Not Provided,"Deep Learning, Git, Data Visualization, Linux, Java",Bachelor,12,Manufacturing,2024-08-08,2024,8,2024-09-23,1930,7.2
AI00050,Ai Consultant,124871,High,Hybrid,Ex,Fl,Austria,Finland,Autonomous Tech,M,50,Usd,Not Provided,"Hadoop, AWS, Linux, Docker, Statistics",PhD,19,Media,2025-03-10,2025,3,2025-05-17,1556,8.0
AI00051,Ai Architect,70391,Mid,On-site,Mi,Ft,Germany,Germany,Techcorp Inc,S,0,Eur,Not Provided,"Deep Learning, SQL, Mathematics",PhD,4,Government,2024-08-16,2024,8,2024-10-19,1974,9.2
AI00052,Research Scientist,115376,High,Fully Remote,Ex,Ft,India,India,Autonomous Tech,M,100,Usd,Not Provided,"Linux, R, Azure, Mathematics, Git",Master,17,Technology,2024-03-12,2024,3,2024-04-14,2028,5.5
AI00053,Research Scientist,106579,High,Fully Remote,Mi,Pt,United States,United States,Cognitive Computing,S,100,Usd,Not Provided,"Docker, Tableau, Mathematics",Associate,3,Gaming,2024-02-24,2024,2,2024-05-02,2028,5.4
AI00054,Data Scientist,135230,High,Fully Remote,Se,Pt,Norway,Norway,Datavision Ltd,S,100,Usd,Not Provided,"R, PyTorch, Kubernetes, Computer Vision",PhD,8,Consulting,2024-07-07,2024,7,2024-09-09,1219,7.5
AI00055,Research Scientist,67607,Mid,Hybrid,Mi,Pt,Israel,Israel,Quantum Computing Inc,S,50,Usd,Not Provided,"Python, Tableau, TensorFlow, AWS",Master,4,Media,2024-08-05,2024,8,2024-08-26,1714,8.6
AI00056,Ai Architect,88470,Mid,On-site,Mi,Pt,Canada,Canada,Autonomous Tech,L,0,Usd,Not Provided,"Azure, Kubernetes, TensorFlow, Statistics, Spark",Associate,3,Real Estate,2024-07-29,2024,7,2024-09-27,1528,9.1
AI00057,Autonomous Systems Engineer,79863,Mid,Fully Remote,Mi,Fl,India,India,Autonomous Tech,L,100,Usd,Not Provided,"Python, Docker, GCP, Scala",Associate,4,Automotive,2024-09-28,2024,9,2024-10-26,1325,5.6
AI00058,Machine Learning Engineer,60299,Mid,Fully Remote,En,Pt,Israel,Israel,Advanced Robotics,L,100,Usd,Not Provided,"Git, Linux, Python, TensorFlow, Mathematics",PhD,0,Finance,2025-03-22,2025,3,2025-05-01,1872,6.6
AI00059,Machine Learning Engineer,85645,Mid,On-site,Mi,Ft,Germany,Germany,Ai Innovations,M,0,Eur,Not Provided,"PyTorch, Computer Vision, R",Associate,4,Transportation,2024-02-09,2024,2,2024-03-06,793,7.9
AI00060,Ai Software Engineer,110222,High,On-site,Se,Fl,United Kingdom,France,Techcorp Inc,S,0,Gbp,Not Provided,"R, Spark, AWS",Associate,8,Media,2024-03-20,2024,3,2024-05-05,1945,9.0
AI00061,Data Scientist,49365,Low,On-site,En,Ft,China,China,Predictive Systems,M,0,Usd,Not Provided,"Tableau, NLP, Azure, Statistics, PyTorch",Associate,1,Finance,2024-06-22,2024,6,2024-08-14,1907,10.0
AI00062,Data Scientist,162296,High,Hybrid,Se,Pt,Norway,Norway,Neural Networks Co,S,50,Usd,Not Provided,"TensorFlow, Azure, Computer Vision, Data Visualization",Bachelor,6,Finance,2024-06-05,2024,6,2024-07-01,1714,6.2
AI00063,Ai Consultant,102382,High,On-site,Mi,Pt,Switzerland,Switzerland,Smart Analytics,M,0,Usd,Not Provided,"TensorFlow, Scala, Docker, Statistics",PhD,3,Education,2024-03-23,2024,3,2024-06-03,2199,5.8
AI00064,Ai Software Engineer,99972,Mid,Hybrid,Mi,Pt,Australia,Canada,Cloud Ai Solutions,M,50,Usd,Not Provided,"Java, R, Deep Learning, NLP, Azure",PhD,4,Technology,2024-02-20,2024,2,2024-03-15,799,6.5
AI00065,Data Engineer,64129,Mid,On-site,En,Ct,South Korea,South Korea,Machine Intelligence Group,L,0,Usd,Not Provided,"Java, Git, Deep Learning",Bachelor,0,Manufacturing,2024-12-15,2024,12,2025-02-11,909,7.1
AI00066,Ai Specialist,87938,Mid,Fully Remote,Se,Ft,Ireland,Ireland,Machine Intelligence Group,S,100,Usd,Not Provided,"Mathematics, Spark, Python, AWS",PhD,8,Education,2024-12-15,2024,12,2025-02-12,508,8.1
AI00067,Autonomous Systems Engineer,71405,Mid,On-site,Mi,Fl,Israel,Israel,Advanced Robotics,L,0,Usd,Not Provided,"SQL, Java, MLOps, Linux, PyTorch",Associate,4,Retail,2024-09-01,2024,9,2024-10-29,1153,9.5
AI00068,Machine Learning Engineer,316182,High,On-site,Ex,Pt,Denmark,Canada,Digital Transformation Llc,M,0,Usd,Not Provided,"Python, Scala, Statistics, Git",Associate,12,Finance,2025-02-09,2025,2,2025-02-23,2452,7.0
AI00069,Machine Learning Researcher,72459,Mid,Fully Remote,En,Pt,Germany,Germany,Quantum Computing Inc,M,100,Eur,Not Provided,"Hadoop, Python, Kubernetes, Azure",Bachelor,0,Gaming,2024-08-30,2024,8,2024-09-15,583,9.6
AI00070,Principal Data Scientist,78338,Mid,Fully Remote,Mi,Ft,France,France,Cognitive Computing,L,100,Eur,Not Provided,"MLOps, Kubernetes, Git, Python",Associate,3,Technology,2024-10-31,2024,10,2024-12-15,548,8.7
AI00071,Nlp Engineer,51907,Mid,Fully Remote,Mi,Fl,Israel,Singapore,Neural Networks Co,M,100,Usd,Not Provided,"AWS, Kubernetes, Azure",Bachelor,4,Healthcare,2024-02-14,2024,2,2024-04-02,912,8.2
AI00072,Autonomous Systems Engineer,122831,High,Fully Remote,Se,Fl,France,France,Algorithmic Solutions,S,100,Eur,Not Provided,"PyTorch, Kubernetes, Git, SQL",Master,7,Real Estate,2024-05-31,2024,5,2024-06-19,761,8.4
AI00073,Machine Learning Researcher,124820,High,Hybrid,Mi,Fl,Norway,Norway,Cognitive Computing,S,50,Usd,Not Provided,"NLP, Azure, Statistics, Spark, Mathematics",Associate,3,Real Estate,2024-08-02,2024,8,2024-10-01,2077,9.9
AI00074,Autonomous Systems Engineer,134200,High,Hybrid,Se,Pt,United Kingdom,United Kingdom,Machine Intelligence Group,S,50,Gbp,Not Provided,"Linux, R, Tableau",PhD,9,Retail,2024-11-29,2024,11,2025-01-09,2396,7.8
AI00075,Data Engineer,51920,Mid,Fully Remote,En,Pt,Sweden,Finland,Digital Transformation Llc,S,100,Usd,Not Provided,"Scala, R, Tableau, Data Visualization",PhD,0,Consulting,2025-04-08,2025,4,2025-05-13,1778,7.9
AI00076,Data Engineer,56427,Mid,Fully Remote,En,Fl,Singapore,Singapore,Deeptech Ventures,M,100,Usd,Not Provided,"Mathematics, Kubernetes, Spark",Master,0,Energy,2024-11-16,2024,11,2025-01-25,1366,5.2
AI00077,Ai Product Manager,213783,High,Fully Remote,Ex,Ft,Canada,Canada,Quantum Computing Inc,S,100,Usd,Not Provided,"Kubernetes, Spark, Statistics, Scala",Bachelor,16,Energy,2024-09-19,2024,9,2024-10-06,2383,9.2
AI00078,Ml Ops Engineer,59728,Mid,Hybrid,Mi,Fl,Israel,Israel,Datavision Ltd,M,50,Usd,Not Provided,"MLOps, SQL, Statistics",Associate,2,Finance,2024-06-10,2024,6,2024-08-13,1350,7.5
AI00079,Computer Vision Engineer,119432,High,On-site,Se,Ct,India,India,Autonomous Tech,L,0,Usd,Not Provided,"Scala, MLOps, NLP",PhD,6,Technology,2024-04-20,2024,4,2024-06-08,1008,6.3
AI00080,Ai Research Scientist,284486,High,On-site,Ex,Ct,United States,United States,Techcorp Inc,M,0,Usd,Not Provided,"PyTorch, Linux, SQL",Master,12,Consulting,2025-02-13,2025,2,2025-03-10,2231,7.0
AI00081,Data Analyst,157597,High,Hybrid,Ex,Ct,France,France,Neural Networks Co,L,50,Eur,Not Provided,"Git, Kubernetes, TensorFlow, R, Java",Bachelor,17,Manufacturing,2024-08-31,2024,8,2024-09-15,639,8.4
AI00082,Ml Ops Engineer,196942,High,Fully Remote,Ex,Ct,Australia,Australia,Techcorp Inc,L,100,Usd,Not Provided,"R, Tableau, SQL, MLOps, Docker",Master,19,Gaming,2024-04-01,2024,4,2024-04-16,826,7.5
AI00083,Machine Learning Researcher,207548,High,On-site,Ex,Ct,Canada,Canada,Cognitive Computing,M,0,Usd,Not Provided,"NLP, Azure, Spark, Data Visualization",PhD,10,Energy,2024-02-05,2024,2,2024-03-11,2292,6.7
AI00084,Nlp Engineer,68838,Mid,Hybrid,Mi,Fl,Sweden,Sweden,Techcorp Inc,S,50,Usd,Not Provided,"Java, SQL, Spark, Tableau, Azure",PhD,3,Automotive,2024-06-20,2024,6,2024-08-12,804,7.4
AI00085,Ml Ops Engineer,125666,High,Fully Remote,Ex,Fl,Finland,Finland,Techcorp Inc,L,100,Usd,Not Provided,"Docker, Python, Git, Kubernetes, Java",PhD,13,Telecommunications,2024-06-19,2024,6,2024-08-22,757,8.4
AI00086,Nlp Engineer,73174,Mid,Hybrid,En,Ft,Denmark,Denmark,Machine Intelligence Group,M,50,Usd,Not Provided,"Git, MLOps, Hadoop, Python, Spark",Associate,0,Finance,2024-07-14,2024,7,2024-09-08,678,6.4
AI00087,Autonomous Systems Engineer,33314,Low,Hybrid,En,Ct,Israel,India,Future Systems,S,50,Usd,Not Provided,"SQL, Kubernetes, Docker",Bachelor,0,Manufacturing,2025-04-16,2025,4,2025-06-15,1207,8.3
AI00088,Ai Specialist,69914,Mid,Fully Remote,En,Ft,United States,United States,Smart Analytics,S,100,Usd,Not Provided,"R, NLP, SQL, GCP",Associate,0,Transportation,2025-02-15,2025,2,2025-04-15,1517,7.0
AI00089,Principal Data Scientist,152118,High,Hybrid,Ex,Fl,France,France,Ai Innovations,M,50,Eur,Not Provided,"Spark, SQL, Python, Mathematics, Linux",Master,11,Automotive,2024-05-20,2024,5,2024-07-14,1294,6.9
AI00090,Ai Software Engineer,78014,Mid,Hybrid,En,Ct,France,France,Digital Transformation Llc,L,50,Eur,Not Provided,"PyTorch, Hadoop, Scala, Computer Vision",PhD,0,Real Estate,2024-11-19,2024,11,2024-12-07,841,6.8
AI00091,Research Scientist,48466,Low,Fully Remote,En,Pt,Canada,Canada,Predictive Systems,S,100,Usd,Not Provided,"Hadoop, Spark, Kubernetes, Python",Bachelor,0,Automotive,2025-03-10,2025,3,2025-05-14,1146,5.7
AI00092,Data Analyst,97997,Mid,Hybrid,Se,Ct,France,France,Algorithmic Solutions,S,50,Eur,Not Provided,"Hadoop, Python, TensorFlow, R, Statistics",PhD,8,Technology,2024-06-19,2024,6,2024-07-16,2419,6.0
AI00093,Principal Data Scientist,128341,High,On-site,Se,Fl,Singapore,Singapore,Neural Networks Co,S,0,Usd,Not Provided,"Computer Vision, PyTorch, GCP, Linux",Bachelor,9,Finance,2025-04-26,2025,4,2025-06-15,2457,6.9
AI00094,Ai Research Scientist,111528,High,On-site,Mi,Fl,United States,United States,Predictive Systems,L,0,Usd,Not Provided,"Java, Hadoop, Mathematics",PhD,3,Real Estate,2024-03-01,2024,3,2024-05-08,1299,9.5
AI00095,Machine Learning Researcher,138945,High,Hybrid,Ex,Pt,Canada,Canada,Deeptech Ventures,S,50,Usd,Not Provided,"Linux, R, NLP, PyTorch, Git",Master,19,Education,2024-07-10,2024,7,2024-09-15,1559,8.9
AI00096,Nlp Engineer,98688,Mid,Hybrid,Se,Ft,Israel,Israel,Cognitive Computing,M,50,Usd,Not Provided,"Statistics, Python, TensorFlow, PyTorch, Git",Bachelor,8,Manufacturing,2024-04-10,2024,4,2024-05-03,598,8.6
AI00097,Data Analyst,109029,High,On-site,Se,Ft,France,France,Predictive Systems,S,0,Eur,Not Provided,"Kubernetes, Scala, Java",Bachelor,6,Technology,2025-04-05,2025,4,2025-06-13,2049,6.1
AI00098,Nlp Engineer,84797,Mid,On-site,Mi,Ft,Canada,Canada,Machine Intelligence Group,M,0,Usd,Not Provided,"Deep Learning, Statistics, Computer Vision, TensorFlow, Mathematics",Master,4,Real Estate,2024-12-04,2024,12,2025-01-03,1909,6.2
AI00099,Machine Learning Researcher,290199,High,Hybrid,Ex,Ct,Switzerland,Denmark,Smart Analytics,L,50,Usd,Not Provided,"Python, AWS, Kubernetes, Deep Learning",Master,12,Retail,2025-01-12,2025,1,2025-03-07,1137,5.6
AI00100,Ai Research Scientist,195691,High,On-site,Se,Ct,United States,United States,Advanced Robotics,L,0,Usd,Not Provided,"AWS, Kubernetes, Docker, Mathematics, MLOps",PhD,8,Transportation,2024-04-20,2024,4,2024-06-22,916,8.7
AI00101,Ai Product Manager,193448,High,Fully Remote,Se,Ft,Norway,Norway,Cognitive Computing,L,100,Usd,Not Provided,"Scala, Git, Java",Associate,9,Consulting,2025-01-02,2025,1,2025-03-11,579,6.6
AI00102,Ai Product Manager,138466,High,Fully Remote,Ex,Pt,Israel,Israel,Smart Analytics,L,100,Usd,Not Provided,"Azure, AWS, PyTorch, GCP, Hadoop",Associate,16,Government,2024-01-25,2024,1,2024-04-04,1690,9.5
AI00103,Data Analyst,91577,Mid,Fully Remote,Mi,Ct,Netherlands,Netherlands,Algorithmic Solutions,M,100,Eur,Not Provided,"Spark, Mathematics, PyTorch, SQL, TensorFlow",Bachelor,3,Transportation,2024-01-27,2024,1,2024-02-28,859,6.5
AI00104,Computer Vision Engineer,92875,Mid,On-site,Mi,Ft,Sweden,Sweden,Digital Transformation Llc,S,0,Usd,Not Provided,"SQL, Python, Deep Learning",PhD,3,Real Estate,2024-07-21,2024,7,2024-09-27,701,5.3
AI00105,Data Engineer,213287,High,Fully Remote,Ex,Ft,United Kingdom,United Kingdom,Cloud Ai Solutions,S,100,Gbp,Not Provided,"TensorFlow, GCP, PyTorch, Spark",Master,13,Healthcare,2025-03-03,2025,3,2025-04-03,1102,6.3
AI00106,Nlp Engineer,62171,Mid,On-site,Mi,Ft,Japan,Japan,Ai Innovations,S,0,Usd,Not Provided,"Git, SQL, PyTorch, Mathematics",Bachelor,2,Consulting,2024-09-15,2024,9,2024-11-07,2162,8.1
AI00107,Ai Research Scientist,152658,High,Hybrid,Ex,Fl,South Korea,United Kingdom,Techcorp Inc,L,50,Usd,Not Provided,"Data Visualization, PyTorch, Spark, TensorFlow",Associate,16,Automotive,2024-01-28,2024,1,2024-03-17,548,9.0
AI00108,Ml Ops Engineer,95085,Mid,Fully Remote,Mi,Ft,Norway,Norway,Predictive Systems,M,100,Usd,Not Provided,"TensorFlow, SQL, NLP, Computer Vision, Git",Associate,2,Retail,2024-03-20,2024,3,2024-04-20,2298,6.5
AI00109,Deep Learning Engineer,86750,Mid,Fully Remote,Mi,Fl,France,France,Ai Innovations,S,100,Eur,Not Provided,"Java, R, Git, Mathematics, Spark",PhD,2,Government,2024-12-13,2024,12,2025-02-24,1397,7.1
AI00110,Ai Specialist,64261,Mid,On-site,Mi,Pt,Israel,Israel,Techcorp Inc,M,0,Usd,Not Provided,"PyTorch, Docker, GCP",Master,2,Transportation,2024-09-04,2024,9,2024-10-10,2385,8.8
AI00111,Machine Learning Researcher,205357,High,Fully Remote,Ex,Pt,United States,United States,Predictive Systems,S,100,Usd,Not Provided,"Computer Vision, Hadoop, Git, AWS",Bachelor,18,Education,2024-03-08,2024,3,2024-05-13,1646,6.6
AI00112,Ai Architect,165676,High,Hybrid,Ex,Ct,France,France,Neural Networks Co,S,50,Eur,Not Provided,"TensorFlow, Linux, SQL, Hadoop",Associate,18,Government,2024-05-13,2024,5,2024-06-25,926,7.8
AI00113,Computer Vision Engineer,114658,High,Fully Remote,Se,Ct,France,France,Algorithmic Solutions,M,100,Eur,Not Provided,"SQL, Scala, Python",Bachelor,9,Telecommunications,2024-03-18,2024,3,2024-04-20,1560,8.2
AI00114,Data Scientist,143149,High,Hybrid,Se,Fl,France,France,Digital Transformation Llc,L,50,Eur,Not Provided,"NLP, Computer Vision, Mathematics, Statistics, R",Master,6,Real Estate,2024-03-13,2024,3,2024-05-10,1169,9.1
